bin,bid,YearBuilt,BuildingType,NumberofFloors,PropertyGFATotal,SiteEnergyUse(kBtu),geometry,Building Age,Total Carbon
297,221662995,2009,Residential,6,56745,2625574.0,POINT (553109.9295554914 5285664.178660695),13,283247.04476115253
299,228410450,2003,Residential,4,67920,2337565.0,POINT (553882.0344866399 5265073.462962818),19,252176.62049788103
300,50783778,2007,Educational,3,204961,6946875.0,POINT (551620.2773932784 5266778.020272924),15,749429.196844245
302,221920081,1973,Institutional,1,76086,3529246.0,POINT (546687.5963591866 5276232.702617108),49,380735.2219876943
313,144481645,1927,Commercial,5,190000,30720328.0,POINT (548066.0278054763 5274233.291813264),95,3314110.4078930123
316,223927903,2003,Commercial,8,293030,22024460.0,POINT (549111.4369555078 5273238.362625358),19,2375999.765179048
318,232088564,1900,Commercial,1,62900,11428777.0,POINT (549639.996099242 5272510.3896699445),122,1232936.992247878
319,397007192,1914,Commercial,4,46620,1505565.0,POINT (549942.7267000268 5272358.482193291),108,162420.42195185684
320,226306332,2008,Commercial,4,203504,3230178.0,POINT (550778.6507746932 5271493.206836253),14,348471.75229206646
323,223915536,1981,Commercial,4,77662,3993874.0,POINT (548835.7287298321 5273940.70898997),41,430859.3121536104
324,223920796,1978,Commercial,12,234000,13372264.0,POINT (549146.8666809564 5273849.961858833),44,1442600.4598483793
328,331281876,1976,Commercial,33,791396,36918620.0,POINT (550028.2212326886 5273520.687884357),46,3982782.4360158886
329,223937034,2000,Commercial,23,747747,19495922.0,POINT (549957.5402605392 5273612.332755471),22,2103220.968593511
331,223937046,1930,Commercial,17,204790,6553306.0,POINT (549925.4542863648 5273585.38286586),92,706970.9548904466
332,223937026,1916,Commercial,5,73399,2977814.0,POINT (549744.7194719369 5273451.574308733),106,321246.71228020487
333,223929018,1969,Commercial,20,265851,15878379.0,POINT (549815.4786248642 5273614.451368005),53,1712960.262155073
334,185400434,2009,Commercial,25,758043,18985606.0,POINT (549803.2864073867 5273809.963795009),13,2048168.054870899
335,432313068,1968,Commercial,12,190642,10281488.0,POINT (549512.6232631595 5273877.509360972),54,1109167.4017747175
336,203321142,2009,Commercial,36,824887,31241864.0,POINT (549911.7173217544 5273785.3277186155),13,3370373.7357354388
337,223937051,1990,Commercial,16,480840,13439708.0,POINT (550121.7517516316 5273743.783078189),32,1449876.3216930164
338,223929019,2004,Commercial,11,299070,59682008.0,POINT (550012.0050359964 5273833.980050452),18,6438497.788068994
339,140628855,1900,Commercial,7,89550,3447192.0,POINT (550111.8978845909 5272354.376188474),122,371883.23266618536
341,110176007,1922,Commercial,15,388934,12582059.0,POINT (550144.0726136058 5272459.1296912925),100,1357353.1078386905
342,240874270,1929,Commercial,22,384302,12155477.0,POINT (549986.5687476391 5272505.570058943),93,1311333.421915421
343,232088570,1958,Commercial,17,378525,19305144.0,POINT (550024.4654100831 5272469.21697472),64,2082639.8291148888
